"Date debut traitement";"Matin/soir";"Date fin traitement";"Matin/soir";"N° National";"N° Travail";"Nom";"N° ordonnance";"Prescripteur";"Nature du produit";"Par";"Dose";"Voie";"Rythme";"Motif du traitement";"Date";"Observations";"Nom de l'intervenant";"Qualite de l'intervenant";"Date remise en vente lait";"Matin/soir";"Date remise en vente viande"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235474451";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235557926";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235565520";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235571335";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 235565536";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"10/10/2025";"Matin";"10/10/2025";"Soir";"8 222010655";"";"";"";"";"BOVILIS CRYPTIUM";"Animal";"2 ml";"SC";"1 fois/Jour";"VACCINATION";"10/10/2025";"";"SAMUEL";"Eleveur";"10/10";"Matin";"10/10"
"13/10/2025";"Matin";"13/10/2025";"Soir";"82 35599218";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235591001";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235590997";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235590995";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599217";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599212";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599215";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599214";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235590996";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599219";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235591000";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235590999";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599221";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235590998";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599225";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599213";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235590994";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235590993";"";"";"O97734";"CRASSUS";"NASALGEN";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"13/10/2025";"";"SAMUEL";"Eleveur";"";"";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"82 35591002";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599215";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235591000";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599212";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599220";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599221";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599214";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599222";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235591001";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599216";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599213";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599217";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"13/10/2025";"Matin";"13/10/2025";"Soir";"8 235599218";"";"";"O97733";"TABARDEL";"NASIM";"Animal";"2.0 ml";"Nasal";"1 fois/Jour";"VACCINATION";"17/10/2025";"";"CÉLINE";"Eleveur";"";"Soir";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"82 35591001";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590999";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235591000";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235599212";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235599217";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590992";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590991";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590993";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590996";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590995";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235591002";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235599214";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590997";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590998";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235599213";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235590994";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235599218";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235599215";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"06/11/2025";"Matin";"06/11/2025";"Soir";"8 235599219";"";"";"O97678";"POURCEL";"HIPRABOVIS SOMNI";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"06/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"65 05616393";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235543533";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235565519";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235565520";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235515717";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235543543";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235571335";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235557963";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235543542";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235557923";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235474451";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 222010655";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235565536";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 222010659";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235394791";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"08/11/2025";"Matin";"08/11/2025";"Soir";"8 235515716";"";"";"O97823";"CHOLET";"BOVILIS CRYPTIUM";"Animal";"2.0 ml";"SC";"1 fois/Jour";"VACCINATION";"08/11/2025";"";"SAMUEL";"Eleveur";"";"";""
"10/11/2025";"Matin";"10/11/2025";"Soir";"82 35590996";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235590995";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235599214";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235591002";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235590994";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235599215";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235591000";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235590998";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235599213";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235599212";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"10/11/2025";"Matin";"10/11/2025";"Soir";"8 235590997";"";"";"";"";"IVOMEC BOVIN";"100 Kg";"2.0 ml";"SC";"1 fois/Jour";"PARASITISME";"10/11/2025";"";"CÉLINE";"Eleveur";"16/12";"Matin";"30/12"
"11/11/2025";"Matin";"11/11/2025";"Soir";"82 35590997";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
"11/11/2025";"Matin";"11/11/2025";"Soir";"8 235599225";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
"11/11/2025";"Matin";"11/11/2025";"Soir";"8 235590998";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
"11/11/2025";"Matin";"11/11/2025";"Soir";"8 235599224";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
"11/11/2025";"Matin";"11/11/2025";"Soir";"8 235599223";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
"11/11/2025";"Matin";"11/11/2025";"Soir";"8 235590994";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
"11/11/2025";"Matin";"11/11/2025";"Soir";"8 235599226";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
"11/11/2025";"Matin";"11/11/2025";"Soir";"8 235590999";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
"11/11/2025";"Matin";"11/11/2025";"Soir";"8 235590996";"";"";"O98160";"LADANT";"NASIM";"Animal";"2.0 ml";"Intra musculaire";"1 fois/Jour";"VACCINATION";"11/11/2025";"";"CÉLINE";"Eleveur";"";"";""
