COPAIP;NUNATI;NUTRAV;NOBOVI;DANAIS;TYRASU;SEXBOV;CAUSEN;DATEEN;CAUSSO;DATESO;COPAMI;NUMEIP;NOMEIP;TRAMIP;COPAME;NUMERE;NOMERE;TRAMER;COPAPE;NUPERE;NOPERE;TRAPER
FR;8235590977;977;VODKA;02/12/2024;79;F;N;02/12/2024;;;FR;8235543542;SIXTINE;79;;;;;;;;79
FR;8235590978;978;VANDA;26/12/2024;79;F;N;26/12/2024;;;FR;8235529327;RIGOLOTE;79;;;;;;;;79
FR;8235590984;984;ABY;17/01/2025;79;F;N;17/01/2025;;;FR;8235464421;MIRABELLE;79;;;;;;;;79
FR;8235590986;986;ALOUETTE;24/01/2025;79;F;N;24/01/2025;;;FR;1220153235;RATATINE;79;;;;;;;;79
FR;8235590989;989;ALICE;01/02/2025;79;F;N;01/02/2025;;;FR;1220153281;REINETTE;79;;;;;;;;79
FR;8235590993;993;PAQUES;20/04/2025;79;F;N;20/04/2025;;;FR;8235474459;MEDAILLE;79;;;;;;;;79
FR;8235590996;996;ADORA;04/06/2025;79;F;N;04/06/2025;;;FR;8235493890;OASIS;79;;;;;;;;79
FR;8235590998;998;ARTEMIS;25/06/2025;79;F;N;25/06/2025;;;FR;8235529317;REVEUSE;79;;;;;;;;79
FR;8235590999;999;ABONDANCE;24/07/2025;79;F;N;24/07/2025;;;FR;8235444148;LENTILLE;79;;;;;;;;79
FR;8235591000;1000;SIMCA;12/08/2025;79;M;N;12/08/2025;;;FR;8235419854;;79;;;;;;;;79
FR;8235591001;1001;NUITS;16/08/2025;79;F;N;16/08/2025;;;FR;8235482124;NYMPHEA;79;;;;;;;;79
FR;8235591002;1002;ATHENA;20/08/2025;79;F;N;20/08/2025;;;FR;8235436101;LARA CROFT;79;;;;;;;;79
FR;8235361003;1003;FANNY;07/04/2010;79;F;N;07/04/2010;;;FR;8235305934;;79;;;;;;;;79
FR;8235571331;1331;TAMARIS;30/12/2022;79;F;N;30/12/2022;;;FR;8235409559;ISIS;79;;;;;;;;79
FR;8235571333;1333;UGUETTE;10/01/2023;79;F;N;10/01/2023;;;FR;8235506376;OPHELIE;79;;;;;;;;79
FR;8235571335;1335;ULYA;14/01/2023;79;F;N;14/01/2023;;;FR;8235444148;LENTILLE;79;;;;;;;;79
FR;8235571357;1357;ULLY;07/06/2023;79;F;N;07/06/2023;;;FR;3100317284;DAROLES;79;;;;;;;;79
FR;8235571370;1370;ULTRABELLE;27/09/2023;79;F;N;27/09/2023;;;FR;8235409540;SAUTERELLE;79;;;;;;;;79
FR;1221371520;1520;;08/10/2023;79;M;A;19/06/2024;;;FR;1214426323;;79;;;;;;;;79
FR;8235482124;2124;NYMPHEA;21/01/2017;79;F;N;21/01/2017;;;FR;4636864695;COLOMBE;79;;;;;;;;79
FR;3210932659;2659;VERY OLD;25/04/2010;79;F;A;17/07/2013;;;FR;3206746660;;79;;;;;;;;79
FR;1220153235;3235;RATATINE;29/04/2020;79;F;A;27/10/2021;;;FR;1216010634;MADONE;79;FR;1216010634;MADONE;79;FR;6414325024;LOUP;79
FR;1220153257;3257;REMISE;26/05/2020;79;F;A;27/10/2021;;;FR;1209059201;DATCHA;79;FR;1209059201;DATCHA;79;FR;6414325024;LOUP;79
FR;1220153281;3281;REINETTE;04/08/2020;79;F;A;27/10/2021;;;FR;1217008550;NANOU;79;FR;1217008550;NANOU;79;FR;6414587588;NEGARREZ;79
FR;8235543533;3533;SHAKIRA;13/11/2021;79;F;N;13/11/2021;;;FR;8235409540;SAUTERELLE;79;;;;;;;;79
FR;8235543535;3535;SHADOW;20/11/2021;79;F;N;20/11/2021;;;FR;8235444151;LADY;79;;;;;;;;79
FR;8235543540;3540;SISTER;05/12/2021;79;F;N;05/12/2021;;;FR;8235474442;MARELLE;79;;;;;;;;79
FR;8235543542;3542;SIXTINE;09/12/2021;79;F;N;09/12/2021;;;FR;8235325835;;79;;;;;;;;79
FR;8235543543;3543;SYNDICALE;13/12/2021;79;F;N;13/12/2021;;;FR;8235444148;LENTILLE;79;;;;;;;;79
FR;8235373753;3753;;28/03/2011;79;F;N;28/03/2011;;;FR;4649047440;;79;;;;;;;;79
FR;8235493890;3890;OASIS;05/06/2018;79;F;N;05/06/2018;;;FR;8235350249;;79;;;;;;;;79
FR;8235444143;4143;LAVANDE;13/01/2015;79;F;N;13/01/2015;;;FR;4724006409;;79;;;;;;;;79
FR;8235444148;4148;LENTILLE;21/03/2015;79;F;N;21/03/2015;;;FR;8235351875;;79;;;;;;;;79
FR;8235444151;4151;LADY;07/04/2015;79;F;N;07/04/2015;;;FR;8235288034;;79;;;;;;;;79
FR;8235444152;4152;LOLA;12/04/2015;79;F;N;12/04/2015;;;FR;8235350262;;79;;;;;;;;79
FR;8235554286;4286;SABA;28/12/2021;79;F;A;16/11/2022;;;FR;8215015870;LOLA;79;FR;8215015870;LOLA;79;FR;1218072074;ODORANT;79
FR;8224014339;4339;TOBITWO;05/02/2025;39;F;A;14/02/2025;;;FR;802368067;8067 RIGA;66;FR;802368067;8067 RIGA;66;UK;7,0415E+11;LANCER;25
FR;8235464421;4421;MIRABELLE;13/03/2016;79;F;N;13/03/2016;;;FR;8235394790;NIKITA;79;;;;;;;;79
FR;8235474442;4442;MARELLE;10/07/2016;79;F;N;10/07/2016;;;FR;4636864704;CANDIE;79;;;;;;;;79
FR;8235474451;4451;TOTOSSE;10/10/2016;79;F;N;10/10/2016;;;FR;8235325829;;79;;;;;;;;79
FR;8223014460;4460;UTOPIE;08/11/2023;79;F;A;04/07/2024;;;FR;8220012354;SALADE;79;FR;8220012354;SALADE;79;FR;6415300087;SOLEIL;79
FR;8235474463;4463;MERINGUE;09/12/2016;79;F;N;09/12/2016;;;FR;8235361007;PAQUES;79;;;;;;;;79
FR;8223014465;4465;ULINE;12/12/2023;79;F;A;04/07/2024;;;FR;8218010334;OVICE;79;FR;8218010334;OVICE;79;FR;2226701938;NERON;79
FR;8235394791;4791;EVE;13/03/2012;79;F;N;13/03/2012;;;FR;8208015764;5764;79;;;;;;;;79
FR;6505715421;5421;;23/02/2019;79;F;A;31/01/2022;;;FR;6505616382;;79;;;;;;;;79
FR;6505715441;5441;;30/04/2019;79;F;A;31/01/2022;;;FR;6505616371;;79;;;;;;;;79
FR;6505715458;5458;;14/06/2019;79;F;A;01/02/2022;;;FR;6505472446;;79;;;;;;;;79
FR;4635275482;5482;ZEUS;10/12/2017;79;M;A;19/02/2019;;;FR;1205281128;;79;;;;;;;;79
FR;8235565517;5517;TAITOI;08/11/2022;79;F;A;14/06/2023;;;FR;8219013327;RAMA;79;FR;8219013327;RAMA;79;FR;3100361906;HASHTAG;79
FR;8235565520;5520;TALIA;08/11/2022;79;F;A;14/06/2023;;;FR;8219013330;RAGEUSE;79;FR;8219013330;RAGEUSE;79;FR;3100361906;HASHTAG;79
FR;8235565536;5536;TALIA;16/12/2022;79;F;N;16/12/2022;;;FR;8235493890;OASIS;79;;;;;;;;79
FR;8235515716;5716;PAQUERETTE;16/12/2019;79;F;N;16/12/2019;;;FR;8235350260;;79;;;;;;;;79
FR;8235515717;5717;PALUCHE;21/12/2019;79;F;N;21/12/2019;;;FR;8235351870;;79;;;;;;;;79
FR;8235515718;5718;PASIPHAE;22/12/2019;79;F;N;22/12/2019;;;FR;8235288034;;79;;;;;;;;79
FR;4635275801;5801;MICKEY;15/09/2021;79;M;A;20/07/2022;;;FR;1216428388;;79;;;;;;;;79
FR;8235436101;6101;LARA CROFT;08/01/2015;79;F;A;14/10/2020;;;FR;8235313229;;79;;;;;;;;79
FR;8235506362;6362;OCTAVIE;27/06/2018;79;F;N;27/06/2018;;;FR;8208015764;5764;79;;;;;;;;79
FR;6505616375;6375;DAISY;15/03/2016;79;F;A;14/05/2019;;;FR;6503827813;;79;;;;;;;;79
FR;8235506377;6377;OLYMPE;07/10/2018;79;F;N;07/10/2018;;;FR;8235361003;FANNY;79;;;;;;;;79
FR;6505616393;6393;;31/05/2016;79;F;A;14/05/2019;;;FR;6503827810;;79;;;;;;;;79
FR;3100317284;7284;DAROLES;05/12/2017;79;F;A;07/12/2020;;;FR;3100285943;;79;;;;;;;;79
FR;3100317290;7290;;31/12/2017;79;F;A;07/12/2020;;;FR;3100323637;;79;;;;;;;;79
FR;3100327482;7482;;13/12/2017;79;F;A;07/12/2020;;;FR;3100334715;;79;;;;;;;;79
FR;8235607483;7483;BRIGITTE;04/02/2026;79;F;N;04/02/2026;;;FR;8235515716;PAQUERETTE;79;;;;;;;;79
FR;8235607484;7484;BANANE;21/02/2026;79;M;N;21/02/2026;;;FR;8235464421;MIRABELLE;79;;;;;;;;79
FR;8235607485;7485;BANOUFEE;23/02/2026;79;F;N;23/02/2026;;;FR;8235529328;SALSA;79;;;;;;;;79
FR;8235607486;7486;BELLE;10/03/2026;79;F;N;10/03/2026;;;FR;1220153257;REMISE;79;;;;;;;;79
FR;8235607487;7487;BADBOY;15/03/2026;79;M;N;15/03/2026;;;FR;8235571333;UGUETTE;79;;;;;;;;79
FR;8235607488;7488;CHANDARY;24/03/2026;79;F;N;24/03/2026;;;FR;8235571357;ULLY;79;;;;;;;;79
FR;8235607489;7489;BENGAL;24/03/2026;79;M;N;24/03/2026;;;FR;8235557960;TIGER;79;;;;;;;;79
FR;8235607490;7490;BAHIA;20/04/2026;79;F;N;20/04/2026;;;FR;8160070568;;79;;;;;;;;79
FR;8235607491;7491;BOUCHON;04/05/2026;79;M;N;04/05/2026;;;FR;1220153235;RATATINE;79;;;;;;;;79
FR;8235607492;7492;BRUNONO;10/05/2026;79;M;N;10/05/2026;;;FR;1220153281;REINETTE;79;;;;;;;;79
FR;8235607493;7493;BOUTON DOR;15/05/2026;79;F;N;15/05/2026;;;FR;8160070592;HERBE;79;;;;;;;;79
FR;8235607505;7505;BETTRAVE;04/02/2026;79;M;N;04/02/2026;;;FR;8235543543;SYNDICALE;79;;;;;;;;79
FR;8235557923;7923;TAGLIATEL;13/01/2022;79;F;N;13/01/2022;;;FR;3210932659;VERY OLD;79;;;;;;;;79
FR;8235557926;7926;TEQUILA;17/01/2022;79;F;N;17/01/2022;;;FR;8235409559;ISIS;79;;;;;;;;79
FR;8235557959;7959;ANGELINA;24/09/2022;79;F;N;24/09/2022;;;FR;8235436101;LARA CROFT;79;;;;;;;;79
FR;8235557960;7960;TIGER;24/09/2022;79;F;N;24/09/2022;;;FR;8235409540;SAUTERELLE;79;;;;;;;;79
FR;8235557963;7963;TEMPETE;18/10/2022;79;F;N;18/10/2022;;;FR;8235361007;PAQUES;79;;;;;;;;79
FR;8235557968;7968;TAYA;20/11/2022;79;F;N;20/11/2022;;;FR;8235464425;MARELLE;79;;;;;;;;79
FR;8235599212;9212;AZUR;28/08/2025;79;M;N;28/08/2025;;;FR;3100317284;DAROLES;79;;;;;;;;79
FR;8235599213;9213;ARNICA;28/08/2025;79;F;N;28/08/2025;;;FR;8235444143;LAVANDE;79;;;;;;;;79
FR;8235599214;9214;AMETHYSTE;28/08/2025;79;F;N;28/08/2025;;;FR;3100317290;;79;;;;;;;;79
FR;8235599215;9215;ACOLYTE;11/09/2025;79;M;N;11/09/2025;;;FR;8160070588;MINNIE;79;;;;;;;;79
FR;8235599216;9216;ALBA;11/09/2025;79;F;N;11/09/2025;;;FR;8235543535;SHADOW;79;;;;;;;;79
FR;8235599217;9217;AMBRE;14/09/2025;79;F;N;14/09/2025;;;FR;6505715441;;79;;;;;;;;79
FR;8235599218;9218;ABSOL;20/09/2025;79;M;N;20/09/2025;;;FR;8235361003;FANNY;79;;;;;;;;79
FR;8235599219;9219;AUDACE;21/09/2025;79;F;N;21/09/2025;;;FR;8235529323;COURAGEUSE;79;;;;;;;;79
FR;8235599220;9220;ARROW;21/09/2025;79;M;N;21/09/2025;;;FR;3210932659;VERY OLD;79;;;;;;;;79
FR;8235599221;9221;AMAZONE;23/09/2025;79;F;N;23/09/2025;;;FR;3100327482;;79;;;;;;;;79
FR;8235599222;9222;ACHILLEE;24/09/2025;79;F;N;24/09/2025;;;FR;8235506362;OCTAVIE;79;;;;;;;;79
FR;8235599223;9223;ARCKO;04/10/2025;79;M;N;04/10/2025;;;FR;8235409558;;79;;;;;;;;79
FR;8235599224;9224;ADAM;07/10/2025;79;M;N;07/10/2025;;;FR;6505616375;DAISY;79;;;;;;;;79
FR;8235599225;9225;ALIBI;07/10/2025;79;M;N;07/10/2025;;;FR;6505715458;;79;;;;;;;;79
FR;8235599226;9226;ADMIRABLE;15/10/2025;79;F;N;15/10/2025;;;FR;8235464428;MALICE;79;;;;;;;;79
FR;8235599227;9227;ADAGIO;21/10/2025;79;M;N;21/10/2025;;;FR;8235506377;OLYMPE;79;;;;;;;;79
FR;8235599228;9228;ATLANTA;23/10/2025;79;F;N;23/10/2025;;;FR;8235529326;RIHANNA;79;;;;;;;;79
FR;8235599230;9230;ANAGRAMME;02/11/2025;79;M;N;02/11/2025;;;FR;8235557968;TAYA;79;;;;;;;;79
FR;8235599232;9232;ANATOLE;07/11/2025;79;M;N;07/11/2025;;;FR;8160070555;;79;;;;;;;;79
FR;8235599233;9233;ALBERTINE;07/11/2025;79;F;N;07/11/2025;;;FR;8235565517;TAITOI;79;;;;;;;;79
FR;8235599234;9234;ANSELME;08/11/2025;79;M;N;08/11/2025;;;FR;8235373753;;79;;;;;;;;79
FR;8235599236;9236;ALADDIN;10/11/2025;79;M;N;10/11/2025;;;FR;8235571331;TAMARIS;79;;;;;;;;79
FR;8235599237;9237;ARIANE;12/11/2025;79;F;N;12/11/2025;;;FR;8235543540;SISTER;79;;;;;;;;79
FR;8235599238;9238;ALMA;13/11/2025;79;F;N;13/11/2025;;;FR;6505715421;;79;;;;;;;;79
FR;8235599239;9239;AZALEE;13/11/2025;79;F;N;13/11/2025;;;FR;8235529318;REBELLE;79;;;;;;;;79
FR;8235599240;9240;ANIS;16/11/2025;79;M;N;16/11/2025;;;FR;8235554286;SABA;79;;;;;;;;79
FR;8235599241;9241;ARRYPOTTER;19/11/2025;79;M;N;19/11/2025;;;FR;8235474442;MARELLE;79;;;;;;;;79
FR;8235599242;9242;ALTO;20/11/2025;79;M;N;20/11/2025;;;FR;8235565536;TALIA;79;;;;;;;;79
FR;8235599243;9243;ACHILLE;20/11/2025;79;M;N;20/11/2025;;;FR;8235529321;PUYLAROQUE;79;;;;;;;;79
FR;8235599244;9244;APOLLINE;23/11/2025;79;F;N;23/11/2025;;;FR;8235557959;ANGELINA;79;;;;;;;;79
FR;8235599246;9246;ALIX;01/12/2025;79;F;N;01/12/2025;;;FR;8235557923;TAGLIATEL;79;;;;;;;;79
FR;8235599247;9247;ACAPELLA;04/12/2025;79;F;N;04/12/2025;;;FR;8235543533;SHAKIRA;79;;;;;;;;79
FR;8235599248;9248;ARCHIMEDE;08/12/2025;79;M;N;08/12/2025;;;FR;8235529327;RIGOLOTE;79;;;;;;;;79
FR;8235599249;9249;APPLE;08/12/2025;79;F;N;08/12/2025;;;FR;8235474463;MERINGUE;79;;;;;;;;79
FR;8235599251;9251;ARLETTE;10/12/2025;79;F;N;10/12/2025;;;FR;8222010655;TABA;79;;;;;;;;79
FR;8235599252;9252;ARENA;10/12/2025;79;F;N;10/12/2025;;;FR;8235543542;SIXTINE;79;;;;;;;;79
FR;8235599253;9253;AMOUREUSE;13/12/2025;79;F;N;13/12/2025;;;FR;8235557926;TEQUILA;79;;;;;;;;79
FR;8235599254;9254;ALEXANDRA;12/12/2025;79;F;N;12/12/2025;;;FR;8235409559;ISIS;79;;;;;;;;79
FR;8235599255;9255;ADONIS;12/12/2025;79;F;N;12/12/2025;;;FR;8235529278;SABA;79;;;;;;;;79
FR;8235599256;9256;ANYA;14/12/2025;79;F;N;14/12/2025;;;FR;8235565520;TALIA;79;;;;;;;;79
FR;8235599258;9258;ACROBATE;22/12/2025;79;M;N;22/12/2025;;;FR;8235474451;TOTOSSE;79;;;;;;;;79
FR;8235599259;9259;BERNARNO;03/01/2026;79;M;N;03/01/2026;;;FR;8235430777;;79;;;;;;;;79
FR;8235599260;9260;BLIZAREINE;21/01/2026;79;F;N;21/01/2026;;;FR;6505616393;;79;;;;;;;;79
FR;8235599261;9261;BULBIZARRE;22/01/2026;79;M;N;22/01/2026;;;FR;8235557963;TEMPETE;79;;;;;;;;79
FR;8235599262;9262;BETISE;03/02/2026;79;F;N;03/02/2026;;;FR;8235515717;PALUCHE;79;;;;;;;;79
FR;8235529278;9278;SABA;07/10/2021;79;F;A;16/11/2022;;;FR;8218014707;OSEILLE;79;FR;8218014707;OSEILLE;79;FR;3100361906;HASHTAG;79
FR;8235529317;9317;REVEUSE;25/11/2020;79;F;N;25/11/2020;;;FR;8235436101;LARA CROFT;79;;;;;;;;79
FR;8235529318;9318;REBELLE;28/11/2020;79;F;N;28/11/2020;;;FR;8235394803;BIANCA;79;;;;;;;;79
FR;8235529321;9321;PUYLAROQUE;13/12/2020;79;F;N;13/12/2020;;;FR;8235455119;;79;;;;;;;;79
FR;8235529323;9323;COURAGEUSE;18/12/2020;79;F;N;18/12/2020;;;FR;8235350260;;79;;;;;;;;79
FR;8235529326;9326;RIHANNA;27/12/2020;79;F;N;27/12/2020;;;FR;4632709228;;79;;;;;;;;79
FR;8235529327;9327;RIGOLOTE;30/12/2020;79;F;N;30/12/2020;;;FR;8235409559;ISIS;79;;;;;;;;79
FR;8235529328;9328;SALSA;12/01/2021;79;F;N;12/01/2021;;;FR;8235474451;TOTOSSE;79;;;;;;;;79
FR;8235409559;9559;ISIS;04/12/2012;79;F;N;04/12/2012;;;FR;8235195356;;79;;;;;;;;79
FR;8235419854;9854;;04/09/2013;79;F;N;04/09/2013;;;FR;8235195366;;79;;;;;;;;79
FR;8235579855;9855;UBUESQUE;10/12/2023;79;F;N;10/12/2023;;;FR;8235409559;ISIS;79;;;;;;;;79
FR;8235579859;9859;ULALA;20/12/2023;79;F;N;20/12/2023;;;FR;8235515717;PALUCHE;79;;;;;;;;79
FR;8235579864;9864;VENUS;01/01/2024;79;F;N;01/01/2024;;;FR;8235506376;OPHELIE;79;;;;;;;;79
FR;8235579865;9865;VICTOIRE;03/01/2024;79;F;N;03/01/2024;;;FR;8160070568;;79;;;;;;;;79
FR;8235579874;9874;VAHINE;27/03/2024;79;F;N;27/03/2024;;;FR;8235493890;OASIS;79;;;;;;;;79
FR;8235579875;9875;VIRGINIE;02/05/2024;79;F;N;02/05/2024;;;FR;8235419854;;79;;;;;;;;79
FR;8235579876;9876;VILAINE;16/05/2024;79;F;N;16/05/2024;;;FR;3100317290;;79;;;;;;;;79
FR;8235579879;9879;VENISE;20/05/2024;79;F;N;20/05/2024;;;FR;8235444152;LOLA;79;;;;;;;;79
FR;8235579885;9885;VALEUREUSE;14/06/2024;79;F;N;14/06/2024;;;FR;8235361003;FANNY;79;;;;;;;;79
FR;8235579891;9891;VAGABONDE;03/09/2024;79;F;N;03/09/2024;;;FR;3100327482;;79;;;;;;;;79
